First_Name Middle_Name,Family_Name,Institution,Category
Claire C,O'Donovan,1,Biology & Biochemistry
Rolf,Apweiler,1,Biology & Biochemistry
Paul,Flicek,1,Biology & Biochemistry
Alex,Bateman,1,Biology & Biochemistry
Ewan,Birney,1,Biology & Biochemistry
Ewan,Birney,1,Molecular Biology & Genetics
Alvis,Brazma,1,Biology & Biochemistry
Fiona,Cunningham,1,Biology & Biochemistry
Henning,Hermjakob,1,Biology & Biochemistry
Kevin L,Howe,1,Biology & Biochemistry
Nathan,Johnson,1,Biology & Biochemistry
Rodrigo,Lopez,1,Biology & Biochemistry
Sandra E,Orchard,1,Biology & Biochemistry
Steven P,Wilder,1,Biology & Biochemistry
Daniel,Barrell,1,Biology & Biochemistry
Emily C,Dimmer,1,Biology & Biochemistry
Robert D,Finn,1,Biology & Biochemistry
Michele,Magrane,1,Biology & Biochemistry
Maria Jesus,Martin,1,Biology & Biochemistry
Anne,Parker,1,Biology & Biochemistry
Stephen,Trevanion,1,Biology & Biochemistry
Jean-Luc L,Harousseau,1,Clinical Medicine
Peter,Hansen,1,Economics & Business
Juyoung,Yoon,1,Chemistry
Kayla E,Smith,1,Biology & Biochemistry
Vincent A,Miller,1,Clinical Medicine
Thomas A,Ternes,1,Environment/Ecology
John M,Kane,1,Psychiatry/Psychology
Christoph U,Correll,1,Psychiatry/Psychology
Chiu-Yue,Lin,1,Engineering
Joshua A,Frieman,1,Space Science
Stephen M,Kent,1,Space Science
Brian,Yanny,1,Space Science
Ari,Laaksonen,1,Geosciences
Eva,Leslie,1,"Social Sciences, general"
V,Lakshmikantham,1,Mathematics
Angela R,Laird,1,Neuroscience & Behavior
Roy F,Baumeister,1,Psychiatry/Psychology
Luigi,Tavazzi,1,Clinical Medicine
Caetano,Reis e Sousa,1,Immunology
Wilhelm,Warta,1,Engineering
Garnet L,Anderson,1,Clinical Medicine
Ross L,Prentice,1,Clinical Medicine
Ross L,Prentice,1,"Social Sciences, general"
Rainer H,Mueller,1,Pharmacology & Toxicology
Dongyuan,Zhao,1,Chemistry
Xiaosheng,Fang,1,Materials Science
Fuyou,Li,1,Chemistry
Fuyou,Li,1,Materials Science
Dongyuan,Zhao,1,Materials Science
John S,Mattick,1,Biology & Biochemistry
Atsuko,Nitta,1,Space Science
Jan,Vogel,1,Biology & Biochemistry
Jianjun,Liu,1,Molecular Biology & Genetics
Bruce C,Neal,1,Clinical Medicine
Darren A,Natale,1,Biology & Biochemistry
Younan,Xia,1,Chemistry
